source_name,url,category,notes
Upwork,https://upwork.com,freelance,Freelance marketplace
Fiverr,https://fiverr.com,freelance,Gig-based freelance
LinkedIn,https://linkedin.com,job-search,Professional network
Indeed,https://indeed.com,job-search,Job aggregator
Freelancer,https://freelancer.com,freelance,Freelance marketplace
n8n Community,https://community.n8n.io,automation,n8n job board
Flexionis,https://flexionis.wuaze.com,automation,Job board
OnlineJobs.ph,https://www.onlinejobs.ph,job-search,Philippines job board
Wuzzuf,https://wuzzuf.net,job-search,Middle East job board
GrowthRoles,https://www.growthroles.com,job-search,Germany-focused jobs